K_Value,Text_Num,Topic,TFIDF_acc,TFIDF_pc,TFIDF_rc,TFIDF_f1,TFIDF_fb15,TFIDF_fb20,TFIDF_fb25,TFIDF_fb30,TextRank_acc,TextRank_pc,TextRank_rc,TextRank_f1,TextRank_fb15,TextRank_fb20,TextRank_fb25,TextRank_fb30,LDA_acc,LDA_pc,LDA_rc,LDA_f1,LDA_fb15,LDA_fb20,LDA_fb25,LDA_fb30
3,250,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
3,251,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857,0.6667,0.3333,0.4444,0.3939,0.3703,0.358,0.3508
3,252,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
3,253,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857,0.6667,0.3333,0.4444,0.3939,0.3703,0.358,0.3508
3,256,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
3,260,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.6667,0.5909,0.5556,0.537,0.5263
3,262,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1,0.75,0.8571,0.8125,0.7895,0.7768,0.7692
3,263,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857,0.6667,0.3333,0.4444,0.3939,0.3703,0.358,0.3508
3,264,dark experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.6667,0.5909,0.5556,0.537,0.5263
3,265,dark experience,0.2857,0.6667,0.3333,0.4444,0.3939,0.3703,0.358,0.3508,0,0,0,0,0,0,0,0,0.2857,0.6667,0.3333,0.4444,0.3939,0.3703,0.358,0.3508
3,270,life_rebuild_event,0.0909,0.3333,0.1111,0.1666,0.1398,0.1282,0.1224,0.119,0,0,0,0,0,0,0,0,0.3333,1,0.3333,0.5,0.4193,0.3846,0.3671,0.3571
4,96,Visually_impaired_mom,0.1429,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.6,0.75,0.75,0.75,0.75,0.75,0.75,0.75
4,97,Visually_impaired_mom,0.1429,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.3333,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,98,Visually_impaired_mom,0.1429,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.6,0.75,0.75,0.75,0.75,0.75,0.75,0.75
4,101,Visually_impaired_mom,0.1429,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0.6,0.75,0.75,0.75,0.75,0.75,0.75,0.75
