K_Value,Topic,TFIDF_acc_avg,TFIDF_pc_avg,TFIDF_rc_avg,TFIDF_f1_avg,TFIDF_fb15_avg,TFIDF_fb20_avg,TFIDF_fb25_avg,TFIDF_fb30_avg,TextRank_acc_avg,TextRank_pc_avg,TextRank_rc_avg,TextRank_f1_avg,TextRank_fb15_avg,TextRank_fb20_avg,TextRank_fb25_avg,TextRank_fb30_avg,LDA_acc_avg,LDA_pc_avg,LDA_rc_avg,LDA_f1_avg,LDA_fb15_avg,LDA_fb20_avg,LDA_fb25_avg,LDA_fb30_avg
24,Visually_impaired_mom,0.0769,0.0833,0.5,0.1428,0.1969,0.2499,0.2959,0.3333,0,0,0,0,0,0,0,0,0.1574,0.1584,0.95,0.2715,0.3743,0.4751,0.5623,0.6334
24,Okmart_charity_event,0.1055,0.1146,0.55,0.1896,0.2535,0.3125,0.3609,0.3986,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.2083,0.2083,1,0.3448,0.4609,0.5681,0.6561,0.7246
24,life_rebuild_event,0.0491,0.0625,0.1866,0.0931,0.115,0.1325,0.1454,0.1547,0.0249,0.0343,0.0824,0.0483,0.0574,0.0641,0.0688,0.0721,0.2868,0.2986,0.8215,0.4368,0.5319,0.6062,0.6595,0.6971
24,dark experience,0.0504,0.0583,0.2667,0.0952,0.1261,0.1542,0.1771,0.1949,0,0,0,0,0,0,0,0,0.1949,0.2,0.8667,0.3238,0.4255,0.5167,0.5899,0.6462
25,Visually_impaired_mom,0.0741,0.08,0.5,0.1379,0.1912,0.2439,0.29,0.3279,0,0,0,0,0,0,0,0,0.1511,0.152,0.95,0.2621,0.3633,0.4634,0.551,0.6229
25,Okmart_charity_event,0.1016,0.11,0.55,0.1833,0.2466,0.3055,0.3545,0.3929,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.2,0.2,1,0.3333,0.4483,0.5556,0.6444,0.7143
25,life_rebuild_event,0.0476,0.06,0.1866,0.0903,0.1122,0.1302,0.1434,0.1531,0.0246,0.0336,0.0824,0.0475,0.0567,0.0636,0.0684,0.0717,0.2758,0.2867,0.8215,0.4239,0.52,0.5961,0.6512,0.6903
25,dark experience,0.0486,0.056,0.2667,0.0921,0.1226,0.1509,0.174,0.1922,0,0,0,0,0,0,0,0,0.1872,0.192,0.8667,0.3133,0.4142,0.5057,0.58,0.6375
26,Visually_impaired_mom,0.0714,0.0769,0.5,0.1333,0.1857,0.2381,0.2843,0.3225,0,0,0,0,0,0,0,0,0.1453,0.1461,0.95,0.2533,0.3528,0.4523,0.5401,0.6129
26,Okmart_charity_event,0.0979,0.1058,0.55,0.1774,0.24,0.2989,0.3482,0.3873,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1923,0.1923,1,0.3226,0.4362,0.5435,0.6332,0.7042
26,life_rebuild_event,0.0461,0.0577,0.1866,0.0877,0.1097,0.128,0.1416,0.1515,0.0242,0.033,0.0824,0.0469,0.056,0.063,0.068,0.0714,0.2697,0.2789,0.8308,0.4165,0.5146,0.593,0.6504,0.6915
26,dark experience,0.047,0.0539,0.2667,0.0892,0.1194,0.1477,0.171,0.1896,0,0,0,0,0,0,0,0,0.1802,0.1846,0.8667,0.3033,0.4034,0.4952,0.5704,0.629
27,Visually_impaired_mom,0.069,0.0741,0.5,0.1291,0.1806,0.2326,0.2789,0.3175,0,0,0,0,0,0,0,0,0.1399,0.1407,0.95,0.2451,0.343,0.4418,0.5297,0.6031
27,Okmart_charity_event,0.0946,0.1018,0.55,0.1719,0.2337,0.2925,0.3423,0.382,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.1852,0.1852,1,0.3125,0.4249,0.5319,0.6223,0.6945
